#{"t_start": 1776532263.2396948, "env_id": "None"}
r,l,t
-2.996178,28,11.508064
-106.329926,3,11.508677
-106.289306,3,11.512041
-115.759912,6,11.51563
-7.679677,31,11.52637
-4.938268,30,11.534625
-9.240931,32,11.544966
-3.314733,27,11.551512
0.322636,27,11.562009
-12.057914,36,11.57173
-3.945031,26,11.579986
-2.38573,29,11.584613
-107.004295,3,11.590002
