id,type,bstar,inclo,nodeo,ecco,argpo,mo,no_kozai
44349,payload,-0.011713170848906792,-0.8038419555120748,-0.953272540873894,-0.15255144336274878,1.6399451419672715,-1.720934952430354,0.8726914863071696
44350,payload,-0.015027813768470226,-0.8038570106664864,-0.3519134573622539,-0.15219362628147307,1.8099878875407427,-1.8892255956434154,0.8726840076706464
44351,payload,-0.023515777880249507,-0.8038745750133001,0.22186120204905369,-0.15257332819952402,-1.4202000827461327,1.307926134055563,0.8726848683439824
44353,payload,-0.010495736580319484,-0.8038243911652613,1.9379558273610846,-0.1521235948037922,0.6225665797458613,-0.7140270360248478,0.8727068324201348
44358,payload,-0.021582752476691017,-0.8038243911652613,1.3535836469086968,-0.15264445391904366,-1.5412327780667776,1.4277083930354373,0.8727033743576239
44387,payload,-0.0907959971479224,1.075766471663184,-1.1170812688320446,-0.1514539187984689,-1.3995850991024517,1.288222730485207,0.7626423862166704
44390,payload,0.05978088890866754,1.0502555125126818,-0.7198640086102241,-0.13856703266335021,1.6587001782586734,-1.7392901524157496,0.9198704555943601
44408,payload,0.03713599195351921,1.045347532174491,-0.6319124469279881,-0.1410881658598615,-0.965268433132988,0.8594872542613803,0.9680168739664274
44424,payload,-0.001846687018243671,1.0428483765421612,-0.21418936693225785,-0.1042384776976592,-0.941933045573115,0.8399070270356884,0.9086641921341849
44449,payload,-0.03004283641438049,-0.527943704956993,1.2527203304066927,-0.1488189844507262,-1.4450755417153154,1.3328731931108946,0.8822186928943956
44450,payload,-0.026142709838931556,-0.5279863612278259,1.2458018974617653,-0.1436300896513093,0.17802943987825237,-0.27387850161570076,0.8820031695326345
44451,payload,-0.02470842977186813,-0.5279587601114046,1.2460076934185946,-0.15253502973516733,0.8512039866535818,-0.9401018196134483,0.8821272863122746
44453,payload,-0.09361582893333455,0.17535030580497496,-0.8945110000495196,7.547447826113165,1.0298201853124642,-1.794588632648567,-1.1180877241098754
44457,payload,-0.09361582893333455,-1.4056090233068315,-0.3920757032203288,-0.1528687734959902,0.8873781639608872,0.34142198333039747,-1.2723278322897476
